"C" "U" "Month" "Library"
"101" 297 297 "1" "MSCV"
"102" 428 146 "2" "MSCV"
"103" 517 120 "3" "MSCV"
"104" 598 127 "4" "MSCV"
"105" 650 95 "5" "MSCV"
"106" 708 104 "6" "MSCV"
"107" 738 55 "9" "MSCV"
"108" 753 38 "18" "MSCV"
"109" 760 28 "29" "MSCV"
"110" 769 24 "38" "MSCV"
"201" 227 227 "1" "EF1a"
"202" 362 150 "2" "EF1a"
"203" 428 90 "3" "EF1a"
"204" 490 91 "4" "EF1a"
"205" 526 69 "5" "EF1a"
"206" 579 93 "6" "EF1a"
"207" 623 71 "9" "EF1a"
"208" 634 23 "18" "EF1a"
"209" 641 26 "29" "EF1a"
"210" 646 16 "38" "EF1a"
"301" 825 825 "1" "SFFV"
"302" 1785 1120 "2" "SFFV"
"303" 2536 1182 "3" "SFFV"
"304" 3043 999 "4" "SFFV"
"305" 3444 961 "5" "SFFV"
"306" 3803 1029 "6" "SFFV"
"307" 4113 769 "9" "SFFV"
"308" 4220 490 "18" "SFFV"
"309" 4283 441 "29" "SFFV"
"310" 4324 323 "38" "SFFV"
