"C" "U" "Month" "Library"
"101" 1079 1079 "1" "MSCV"
"102" 1674 664 "2" "MSCV"
"103" 1802 450 "3" "MSCV"
"104" 1856 439 "4" "MSCV"
"105" 1892 461 "5" "MSCV"
"106" 1912 412 "6" "MSCV"
"107" 1922 390 "7" "MSCV"
"108" 1936 387 "12" "MSCV"
"109" 1947 362 "24" "MSCV"
"110" 1954 347 "33" "MSCV"
"201" 1035 1035 "1" "EF1a"
"202" 1767 875 "2" "EF1a"
"203" 1938 639 "3" "EF1a"
"204" 1994 622 "4" "EF1a"
"205" 2021 652 "5" "EF1a"
"206" 2030 541 "6" "EF1a"
"207" 2040 531 "7" "EF1a"
"208" 2047 515 "12" "EF1a"
"209" 2054 488 "24" "EF1a"
"210" 2060 488 "33" "EF1a"
"301" 243 243 "1" "SFFV"
"302" 340 100 "2" "SFFV"
"303" 364 51 "3" "SFFV"
"304" 416 88 "4" "SFFV"
"305" 424 48 "5" "SFFV"
"306" 447 64 "6" "SFFV"
"307" 452 43 "7" "SFFV"
"308" 454 35 "12" "SFFV"
"309" 458 33 "24" "SFFV"
"310" 477 50 "33" "SFFV"
